예제 2의 입력값과 출력값

입력							출력

100								1
3920 -1912 2893 -353			100
2046 3763 73 -4838 
473 -952 704 -106 
2973 -1007 3896 -4057 
-2096 2047 -2541 -2612 
-2963 -4574 -4269 -951 
-4548 -1415 3471 4742 
4897 520 -1708 996 
4762 4596 -265 1975 
1774 -4949 -244 -2572 
668 3317 -2928 -4349 
855 3441 4685 -688 
2394 1297 4206 -3246 
2937 -1665 2485 2266 
1839 4165 726 3629 
1297 -2829 3560 -1989 
-2461 -3172 1723 -4510 
-1885 68 -2540 4412 
4076 -3674 -4976 1474 
2372 -3046 -4753 -2690 
-1074 3824 -3466 -3630 
3145 -749 4397 2677 
1234 1897 -1451 230 
3582 3943 -2098 1423 
2834 3585 377 -580 
-2276 2610 -815 4980 
-3363 3508 615 -544 
-123 -2032 971 4077 
-1034 4353 -3634 3274 
1050 -1487 -2591 1080 
-1164 3406 358 -4669 
1729 -882 973 -3657 
3414 2555 -161 1141 
876 2425 4692 3944 
2953 1162 3778 -4741 
-3614 2914 3073 3940 
706 -3120 1549 -1028 
-3723 3812 -1829 4099 
3394 2405 -774 -3714 
-2488 866 -1646 2017 
1151 2913 3505 1765 
-90 -2371 -2175 -4119 
-905 783 -4747 1003 
-246 4878 1110 -4670 
998 -2861 -3427 83 
738 -2017 4727 3219 
-3326 -4257 2892 2596 
-600 2712 -3892 3554 
-605 3827 -3340 -2068 
1583 1199 2043 1507 
-1858 -1698 -911 3775 
-2586 -2398 2832 3107 
1287 3794 -1089 -307 
3106 -2327 -922 -2585 
130 3570 -69 2760 
4694 261 3331 725 
3355 -1071 474 -4575 
3097 3220 -3042 -3494 
3827 -4491 -4239 209 
-1180 -3033 2054 -2036 
-2028 -963 -4518 3611 
-3798 -1161 -4363 -2109 
-4802 -3153 -2591 -624 
-4350 -381 4338 1757 
-3020 3621 690 2784 
989 -2826 1945 1693 
272 -889 4001 -2443 
-4969 -975 2291 -4630 
-916 -1033 -1201 -3597 
54 4563 -1968 3970 
-1511 4833 -2532 -513 
-4741 1852 786 -1820 
-2118 -3729 1874 257 
-3033 -4136 908 2495 
-194 -259 -1709 3240 
-2865 4661 2101 -2632 
1924 687 1718 -3696 
4927 1995 2733 -1900 
3210 -1442 -4366 -4412 
689 -4987 3962 271 
-2549 3821 -3077 931 
3523 4016 -3109 12 
-1839 -4105 -2227 -1397 
-1545 3157 3983 865 
2588 -3038 -2011 4760 
-784 4108 3618 3491 
-1703 -3499 -2654 -4863 
-1415 3270 2422 1297 
-673 3236 407 -2989 
3811 -2017 2629 2251 
-2852 958 -2591 -1839 
563 3089 -274 -2876 
3309 -180 2214 -1992 
737 -3324 -3433 -1561 
-3363 1129 -619 -1125 
1817 4776 -4527 3622 
3343 3721 -2144 -2342 
566 2044 -1167 3077 
-2510 570 752 -3699 
956 -3264 2353 -1208 
